,price
105836,5330
36476,3604
5744,17143
74358,2163
77362,16861
91711,462
9263,10628
18525,17898
123420,9620
154838,3539
115984,4197
472,814
29174,16364
39707,6018
16408,840
34119,1656
130183,1031
69345,4922
109145,2271
138329,972
74242,9035
30912,4616
12358,8749
78698,720
121069,3825
129910,977
58359,7283
38608,3688
36746,1035
19948,945
133802,4412
84046,4900
20900,707
102402,1861
105859,402
136856,5220
140693,1090
59390,505
118495,14998
9464,2690
93994,528
107012,828
17045,3885
142924,706
89674,3163
120285,1131
55078,1944
32482,1367
127921,648
72314,665
124268,4676
7915,5220
25857,14844
27368,4673
83495,18429
119900,537
142608,8532
117158,1163
21194,10772
20996,3146
86663,526
34983,988
54281,5649
44876,3701
35901,5521
125335,5385
71151,730
37496,1996
52612,5729
15207,884
129389,729
20114,3625
140041,5647
72969,5306
38378,1423
19799,606
64263,1016
145581,2030
9797,666
150517,1966
78180,983
115354,1145
33942,1127
73683,9075
22840,1659
87711,1764
117619,7040
123857,596
118330,526
150437,3267
5463,710
25501,6936
88745,4412
48104,402
74791,2306
126058,1721
130409,1044
147922,7437
124263,8977
67134,1720
15889,734
120656,952
38747,1107
64343,3588
84770,992
47,6762
37998,919
60919,571
118796,8430
64862,4269
7708,10036
52138,938
107173,899
51076,791
14013,4619
115966,4260
35297,5405
141089,2493
81439,597
104204,1116
74892,911
21980,367
111574,6722
117484,1708
47158,4616
64527,945
151558,1151
1250,8951
56362,7484
104444,5747
86343,10309
126950,4274
81133,7096
142456,10691
46663,5190
75473,4112
94862,12737
21358,6132
109757,6147
26923,458
100279,2307
16983,1079
128225,5655
97653,1120
5828,554
111512,870
141171,1968
12056,1996
152863,13248
23127,1601
87225,1641
69472,2648
70398,3027
14628,8244
37277,1809
32654,811
40748,1045
150699,5743
83888,12078
8653,2913
18783,645
145590,5807
66976,830
57373,5689
31656,3609
138816,576
4244,1069
89021,8097
14266,1758
7595,1715
20220,9656
104907,5487
73349,1432
139036,17776
117205,4697
50350,544
86568,11068
3947,1140
83675,2346
99740,3619
137777,5183
32435,781
20586,5374
18193,2654
9683,14165
10540,5851
33899,17063
38163,374
1835,4135
64707,1076
55966,10428
151721,382
21719,5584
24010,760
79096,862
128110,9176
22199,6734
36896,6012
23500,9126
21066,832
32569,1793
16913,5960
115889,3950
98922,1708
88321,561
13757,4223
424,1757
145431,2896
49497,628
139970,12872
2406,880
147495,3714
76679,1815
88033,544
61385,1722
63110,921
32978,969
90971,6670
17479,3649
126843,14674
16789,3468
18800,565
38072,6132
33121,5597
87934,3478
15878,3528
64056,592
5864,765
4181,2167
112291,1727
26129,436
129184,709
150535,7405
72773,2788
32428,5282
117089,8491
85942,838
133612,984
45496,504
84479,432
100813,805
27240,4980
15741,2426
141122,526
129355,16427
8643,2042
139312,4509
35588,2882
147220,817
138316,4239
22251,453
139465,852
139364,2893
127844,790
1822,700
99160,14215
5346,1032
101172,5390
27133,1024
67324,533
22737,7980
96618,7459
14111,14416
74337,2024
4597,756
79925,8995
47847,1046
77563,2550
65300,984
43253,1993
19702,758
56608,1390
108321,1569
65949,833
120703,6217
16475,13777
73257,4978
5415,945
12455,10349
105358,666
29783,2240
76254,3587
96438,4204
70506,1904
110838,2759
152695,2225
94443,5330
109776,965
131819,706
138269,2960
17735,6174
118349,1905
35785,1356
18959,8341
2156,2909
37013,4434
138943,2630
90530,2691
138828,624
34186,1084
79249,1786
14897,1012
20138,1076
76095,1076
123494,1877
117283,10914
111244,1207
97947,13803
17183,15983
135305,17689
48133,5292
102912,3668
29758,1299
94727,5871
6452,1960
81335,7986
48277,12587
76101,6416
111815,956
120409,1107
13413,1715
55872,1668
38942,9556
53837,13512
133725,1948
6930,4766
36969,874
18854,942
135119,1803
38348,5504
64062,999
54518,7655
142446,1789
110902,6947
706,911
37215,4798
66094,11284
17825,3597
23533,523
472,5453
136007,605
11838,666
26692,764
6565,684
68546,1443
10147,12316
53003,11284
131736,3827
63,1968
29608,4167
34443,3550
24747,14749
141063,5055
143671,5967
3468,2092
520,4239
92749,7990
38076,15756
101667,6232
38080,11212
117448,1340
40009,737
27871,7340
28872,7433
24721,2962
143353,4044
49346,7662
31930,4201
147582,4694
11816,968
18472,8396
4591,599
32616,6134
9944,988
5844,422
921,9821
77980,4838
39989,10951
113923,6996
110854,3310
5540,6443
146622,530
83303,658
84375,4327
33258,449
104938,6797
91959,2382
27866,9435
131146,9925
628,1141
46055,2234
153970,789
31389,13951
24359,526
70627,952
118971,1168
3511,4167
29437,1838
15203,1176
148241,1668
55594,7275
58256,12265
120017,3674
3313,2682
59860,699
134360,4879
22396,5637
35091,2369
3656,1132
8427,2277
125631,4855
152556,4540
80929,7098
66519,3812
132481,950
11344,4044
2551,814
137988,434
81837,6944
30223,17028
39157,5967
37434,6963
121734,8870
13255,436
24939,681
89564,3502
1037,583
8399,2719
39851,10113
12608,1179
149861,5860
3882,710
111015,5236
5206,1851
82028,5021
14278,4513
41678,1873
111832,1134
54897,6369
33240,767
93467,855
54793,1114
26157,2851
140002,567
5185,885
89859,4702
6353,12394
34982,642
33767,12822
12407,752
36825,2830
97419,4675
83241,642
63631,4282
92143,7253
35798,2256
74086,2894
51393,805
40078,5899
124662,4498
11803,1199
17305,867
98443,5488
64943,687
35575,828
67786,6391
3612,666
16403,873
151871,868
20119,4558
7268,5703
88463,538
50774,5407
3129,689
123117,828
90152,8014
66854,2999
82088,487
84187,2726
27505,1141
49766,18691
25549,14558
73832,4608
55706,878
129784,537
54729,707
17351,1814
114995,5555
35625,2803
100900,2363
104275,680
33420,2870
47132,452
31985,720
92557,828
96894,847
47747,11062
10093,10340
14580,15760
34803,13588
96562,1314
91639,3777
145611,6108
23719,11686
126203,512
30685,552
112443,743
62756,2723
74602,1990
142302,1863
101677,4851
37654,3620
14152,1014
105660,924
76140,5234
44450,1000
30694,18718
5424,626
131885,1319
99938,3154
22388,1359
33757,1114
70461,844
18797,776
13271,9046
112972,648
139434,1720
103787,620
32122,1750
21975,2938
36455,715
10732,2617
56717,1437
17303,11530
96842,10954
129535,607
97797,5096
15617,7744
25505,2815
85193,5345
32307,3918
413,2453
139602,5211
13252,458
31894,574
56124,453
44151,1026
60556,814
31497,3715
50384,4509
121046,3382
38371,2821
32521,728
17095,1656
56651,2060
35275,4920
60836,1181
152389,1145
113236,418
470,1640
30300,724
53317,1844
35718,1944
14602,5242
33827,1356
45264,851
94393,5364
41591,603
108926,1924
35879,5057
37838,11522
10359,2489
96564,9474
33482,863
33729,14107
126232,1760
13533,803
2276,4423
26138,692
99342,2145
137331,945
111281,4108
52121,3337
91840,4312
37900,7469
128197,1872
25779,3037
42893,12273
153090,8907
33961,4385
2417,5996
67230,9681
72318,518
20383,692
16903,891
11164,14867
47916,2307
66785,1052
54328,2400
80408,4022
115632,5207
91137,2568
62755,2074
15441,917
56214,561
80284,3360
35457,394
146363,4125
28583,3993
48558,1781
26039,4327
25899,626
17388,4540
89972,945
34797,500
90966,2834
10563,503
14662,15132
24464,593
36981,2264
25990,3372
96834,5787
52923,3498
37529,900
2441,2442
58530,3217
95233,1046
4870,1026
24602,2773
23829,648
113099,613
49140,992
84496,466
28839,1654
38565,1013
62,811
5749,368
49220,13560
37254,3880
148875,4659
36980,537
23669,11141
89155,1607
139155,1250
381,4721
125915,2877
124876,8139
21509,767
79325,2334
6297,4092
74704,526
108178,2923
152351,2862
35244,14787
58157,5259
11897,589
110001,6335
37937,15919
5203,8733
119766,1040
11386,1615
7678,4386
136753,1580
86441,6046
93282,900
85858,4482
51497,795
43055,5218
11466,1124
27330,4355
80622,2825
62132,784
107653,2039
120079,3084
124961,792
114848,579
22426,571
78166,10447
45887,3864
16615,1219
129608,5430
20813,1105
131348,723
79514,2550
74899,11011
60627,2479
90620,5690
17373,8716
141109,15842
54087,6340
153615,3858
15281,9495
37457,571
20392,2535
32270,965
50537,1397
64351,522
23323,579
152987,4593
82171,775
66305,6232
123625,10043
37943,969
78898,10696
29680,752
11363,1367
15120,886
24005,603
55250,7589
71692,2122
135355,7507
32944,1935
108776,7816
26489,760
16009,12493
34456,1966
33048,1163
142109,7592
71277,13803
87689,1033
85653,14945
28905,1698
55441,2455
57892,648
23231,6587
7413,2069
147613,558
16302,3618
62890,6236
78501,2766
142825,8457
22043,2168
55287,9245
27378,2160
42748,433
79703,1601
45451,6492
85699,3175
6882,854
29443,10698
108691,5858
9897,612
129035,1923
72332,1920
138416,17608
140368,1151
5568,1708
25834,7520
16220,1698
124951,4540
16630,10012
4327,2836
26994,586
31196,4528
98917,3979
139400,3088
27051,2326
80827,6666
5406,7308
8707,658
151675,2766
7576,8189
141131,1415
54354,7186
26284,530
131606,1048
108928,852
1444,572
137928,4909
52609,870
1151,693
96981,8736
51483,5198
1332,1838
20130,3220
23081,1666
35113,2823
17330,1073
113582,956
15797,767
117030,3541
8611,12261
137795,2474
130784,802
9935,2749
1501,2145
5900,2141
60240,1800
109701,13732
26047,1106
113762,945
95809,3435
11611,15461
35952,2893
24945,541
54513,571
105597,1050
115775,3945
154092,14586
29849,1235
151092,2623
92399,4162
14184,3156
127747,13320
118879,775
31302,4520
30705,1153
113456,11649
29542,5218
124039,4712
38436,2241
45620,8372
74430,1433
37144,834
57315,891
634,1079
35578,972
132392,1603
45626,605
125845,4606
11122,765
147409,945
72452,1822
129274,2347
44892,789
132215,3246
106188,1282
43521,2522
150895,2961
49954,3362
127612,732
71703,6300
3407,5063
129597,16641
131950,680
48563,844
101886,3197
117176,4290
100436,15627
47474,8475
98545,1103
21926,2364
12427,538
113864,4997
136133,326
21493,2396
66890,4525
109477,988
119116,957
37314,1077
17319,4916
87088,3777
88065,1336
105516,5274
42728,516
63069,4312
103757,844
69696,462
11472,3345
9940,4333
107397,17496
76883,854
40920,1436
24052,2409
108244,2214
150675,15323
83989,10615
146610,751
112472,14430
151089,5076
2198,6477
80683,1443
18979,766
4444,2300
15083,6971
82636,1547
14143,3211
24047,6177
25119,3520
31584,1744
89695,1114
125763,522
9464,6176
39972,6825
24577,6201
77999,789
113523,2817
8389,648
141787,583
33273,1615
115622,17539
62902,974
36352,5069
8883,5443
35779,1034
141454,2562
64487,595
12045,5205
13250,3063
111416,11310
16417,680
8535,754
135194,624
118988,900
34765,4528
61815,6311
130238,4425
14005,1375
146298,755
149689,8840
145841,858
69961,2852
46673,5633
94493,8758
115076,1944
13549,4238
85471,6670
35242,4320
105239,7503
21888,337
97835,5506
128522,16669
20695,3838
13005,13853
2547,5476
73399,981
23243,8983
132429,790
105455,2010
90476,7414
142673,3301
142078,399
103442,2027
9907,562
62802,4739
45290,6738
92423,1775
6570,9440
119456,9524
91389,1144
92640,5648
119765,2863
127290,596
22372,667
32233,1970
19724,772
47366,5131
29973,541
48276,628
55083,1847
92882,9069
57291,1781
3238,5361
11811,1407
32549,7803
87358,4309
37082,427
14045,367
60772,3718
119780,13645
9863,2462
29627,576
72421,15426
143688,3181
139012,954
62373,1393
82955,473
26873,8271
6741,6038
20953,1133
38561,476
105042,10341
104836,2846
111987,9086
24607,858
54013,16613
61863,1080
117823,8681
116495,10357
14486,2606
95315,3604
119316,2200
32136,4312
101565,6867
67919,743
124515,4355
114198,815
94974,984
342,3713
101905,593
95332,683
39762,4157
1216,1119
63984,3024
291,2050
138590,720
115533,3457
37216,5242
29782,2387
98612,18561
26793,13991
120375,11021
127108,2766
54517,2025
33120,4525
6249,1243
47715,1015
92853,862
114252,17010
92512,495
953,7511
59932,1704
90465,3640
16206,5869
5217,5088
33647,717
90514,945
127195,491
666,1689
2189,2331
26263,14691
90293,6272
44395,1179
148604,4260
27320,1608
142850,3965
48509,1350
120857,2119
8363,7023
47824,718
16998,839
4735,4469
73132,847
108309,4580
99991,2347
52001,1359
753,1940
8702,2172
102371,4463
36156,12871
51727,6939
154601,642
107795,680
23119,1689
14215,802
128791,1624
37574,11696
343,696
64281,2123
56700,6021
39000,7539
133549,2107
45818,2641
104632,3299
24471,4600
28672,3011
105900,12641
10849,2530
117856,3670
88048,1093
139154,15688
44274,1243
130699,1197
1578,477
30417,3098
107911,8181
90021,5005
78908,676
139717,15948
154819,586
49889,2177
126246,658
148833,10498
4958,10800
36629,1706
71441,13068
93864,5042
10169,4906
60756,1235
13774,561
94473,3909
89208,15379
21321,3004
29047,12792
85673,997
124048,774
10243,7550
56360,1559
152641,15116
152521,2826
113870,1107
97832,7666
39616,2326
20579,11922
23104,612
27772,597
21240,2100
43029,870
47943,816
71784,936
28348,2757
92041,5678
29115,6806
145561,1313
120160,558
13957,2867
81778,357
107433,3563
31416,1384
25229,3763
14259,5364
101410,742
10388,2194
134455,527
54008,3764
7761,4580
19077,16992
1132,8400
136756,12631
21335,1091
22841,536
30945,1752
27796,10368
106542,1932
29933,1444
3957,2802
153037,628
17384,1654
14185,774
4345,5027
95546,2570
128230,878
146884,17803
88014,4426
46584,868
69324,945
90840,2404
33265,9576
72107,723
57879,7697
19200,923
33358,812
30636,2338
12539,12055
130659,1882
66070,545
78442,445
21359,1580
16500,2918
117078,876
125124,1080
43291,13645
116498,4249
956,2313
139186,710
121765,625
149954,7503
145753,477
71852,2937
10797,6853
150566,880
19478,5075
82421,12423
23906,457
81760,4698
43777,876
88640,5499
3552,554
63005,2896
26331,3470
14169,1184
32820,1568
116099,3014
104103,6110
1806,5041
68209,3267
147046,544
81235,1250
3391,1194
34841,1314
144961,15086
144522,5400
120512,8954
29003,558
152880,682
28645,1163
116330,351
134429,11503
10021,596
140428,499
105951,10693
31933,947
34313,2747
145648,17192
118392,2814
10260,8983
75817,1075
141725,1257
26927,654
47286,1123
140719,526
21332,1662
70674,2671
144236,2012
7234,4604
99349,7207
78432,1023
7748,1628
145040,1214
6348,3507
52,554
10834,737
145703,4685
46200,4721
12563,12030
122929,1954
62066,4642
7028,9479
134398,13993
26379,805
23186,1306
7551,4451
142206,2288
26538,1059
77379,4931
103749,1443
7995,11637
124183,530
37632,855
29310,1844
39028,984
8053,8287
108617,13666
81636,13995
6064,1791
30842,900
12253,1722
28011,969
131984,666
41023,12674
68442,7768
91560,1340
2127,1868
56444,13619
17989,3139
78149,8388
143847,6346
150146,984
98196,2107
69896,18648
47194,4637
1665,1068
87669,1125
28216,5010
82875,1629
141022,485
9889,1948
28997,1260
28598,4307
97954,526
116515,3903
85816,735
88787,5476
93641,666
10688,612
37589,2393
83358,1079
83565,698
5804,18531
139090,6891
118441,7822
11717,1884
23433,2380
92822,3201
24028,6569
56926,956
129725,11627
26384,1048
78839,1732
110095,9067
83719,2010
99101,967
79093,958
143743,9513
32874,7372
71728,13157
84492,974
31683,983
6105,776
61743,1580
7019,8246
75779,3950
45695,4244
76495,720
119969,605
28772,800
131903,710
131952,9920
98719,1280
66793,891
97761,9498
6514,505
37089,14375
6657,5071
154451,730
32773,5626
82280,575
106902,490
117998,10663
86409,921
33997,9106
67077,645
106554,759
81030,606
93795,2434
89775,842
82696,1265
13308,8820
16363,1819
36690,7430
21131,525
93669,4346
69960,4643
129462,7679
26648,2058
81616,739
59267,5091
103506,5535
137435,3205
27950,2947
143158,2804
104754,637
31622,5027
15114,7832
82998,13196
81618,7378
100169,593
146148,2960
95043,3913
34498,1421
20591,675
130302,1698
6071,11035
31502,2274
80534,6619
21985,1728
22352,942
105013,8737
50072,977
26892,628
127202,2352
94033,743
16842,3018
18026,1577
80381,422
26565,475
100514,18394
112370,9189
75892,882
131676,1094
134523,2386
100950,607
8974,13653
86342,7235
141262,3610
221,1041
29554,16562
9181,3656
150886,670
133675,683
934,4633
57064,4689
24801,710
146198,3593
19826,1013
137048,1250
48632,8212
27148,1367
144230,17894
22693,1286
146588,11825
32569,5620
31814,657
1497,9756
14205,8842
32651,807
29032,2968
18023,1548
130287,587
38658,589
18353,805
86129,5724
28763,1777
69620,552
25421,9900
120697,408
110689,1565
8096,6099
112830,662
49026,1400
16489,1143
37910,498
112908,9642
22926,1389
78841,14240
9524,1593
23780,5767
39377,10255
107708,8540
108349,15143
103111,2459
14487,2623
33383,2367
66316,1009
28104,596
52655,3694
93710,2648
42405,8763
141872,700
12655,6915
27203,4033
72657,367
2468,975
7846,4375
40756,9925
115574,4860
65946,526
145671,1837
11315,5935
135122,13205
11888,459
140906,477
20560,2760
35702,2074
29132,4198
131714,5356
139601,16469
28978,8167
41192,5014
136097,522
132022,4578
16425,7365
108552,2488
127438,4194
130835,741
60280,666
12381,8796
110738,2367
102007,3662
12089,11161
92032,576
38859,3437
47269,1836
24022,1179
84686,1632
118152,545
1770,515
96802,1612
97025,645
119794,803
19477,16565
72879,1704
18757,521
114959,4652
118067,1746
37028,6450
114195,8305
101831,639
138423,2461
18690,537
37323,6853
19729,1787
142893,6814
9986,4683
10293,1318
132408,5559
87003,1637
8035,4427
9099,612
133182,18766
128797,1548
92123,3201
131139,1160
23859,3730
31850,4518
27394,7072
25052,388
80445,658
31458,1789
116474,526
26265,2689
1609,928
61062,677
124099,1885
42622,1144
3568,462
4673,12360
4052,1014
19309,3307
817,6214
149342,666
109197,2393
98816,5407
13806,789
12364,583
5440,1351
38283,4973
20827,728
34157,2314
65991,698
71890,4608
57863,732
62003,10749
73854,3145
129225,10463
28617,552
45993,1592
101145,648
49436,9596
36265,625
99184,1395
27259,666
9991,789
113287,7001
12001,799
64580,642
132978,1170
124136,2313
128485,5139
105564,16558
113822,435
39545,16603
34263,3005
127750,703
130890,17820
8374,610
37809,1192
81022,1412
143734,4514
150532,7056
63684,2290
12218,3749
143049,3541
35767,600
104218,692
18656,3921
120893,8782
126863,11954
142716,6619
92057,3993
104669,1881
127629,2498
27479,2840
130186,10977
39445,838
80790,1037
152280,6419
41179,810
66582,644
56646,2518
35562,680
35043,1212
9286,4333
107210,1585
58181,1033
73550,3734
5456,18462
105697,12418
35459,8256
9774,1064
126332,4939
78401,2512
76146,646
28254,1003
57035,475
35814,9193
13548,8010
133757,7367
48230,656
3315,5324
95240,1774
93811,1435
71405,13207
84750,1436
72536,13161
52306,452
117696,9193
32883,2942
64220,537
124610,7085
99424,1240
103776,592
19381,992
98358,738
2327,1002
101258,7415
67869,473
122964,1981
24794,759
75250,1050
99325,4931
6684,14299
25925,2789
67252,3089
17974,651
1945,14429
11144,1104
91566,4649
20983,7145
34431,579
2578,18325
23546,4927
47045,2219
7973,1350
122545,3639
69414,6225
8494,3984
146096,660
116783,506
64628,707
26280,672
14061,4573
63221,5042
154695,2083
77082,1612
16004,1755
148383,1208
74717,810
44833,727
120146,876
149557,752
127905,698
130664,990
110714,3380
84649,7411
6975,6289
50,4442
34300,10494
3435,2431
125001,1154
40906,6846
70041,743
34766,3980
906,4724
125852,3880
5302,2958
77005,4324
27,7982
130492,10725
18994,4720
117480,1129
108094,1786
115414,7216
110173,7209
94738,565
119905,6586
26131,5352
46198,12320
14939,577
104732,596
109600,4838
32962,8458
151373,1124
47167,2106
140667,1437
118269,10827
34260,812
35038,6330
1026,4202
75749,1041
85452,848
53623,2373
95059,3570
46722,6971
93031,3884
101011,2586
26504,5387
128761,781
90763,1619
148899,6750
107324,4989
131673,4916
129166,3660
123137,988
30396,4422
84749,424
116686,3520
93540,1662
17497,631
37263,1758
76450,4238
61659,3924
46046,1212
145563,15265
22541,961
136120,703
104536,1397
4797,828
372,819
1738,3800
30149,1437
26912,15032
153099,1566
135711,11390
3580,608
115105,1447
88338,854
61634,3065
114532,877
139782,7881
3484,15162
32159,1792
24337,9487
37806,1815
502,6471
42066,7340
133110,14319
1559,2742
38857,1776
65735,770
24435,827
13253,903
96435,988
34168,3461
16188,3462
108606,524
48612,4155
128962,6248
136045,612
25284,7258
31358,10349
32240,756
6057,1437
95414,3288
23053,2367
152409,3581
54842,13034
19870,5799
46204,612
126062,7253
83440,1841
66689,1342
2600,936
26095,5174
134597,4128
148284,462
94253,810
119886,4967
71098,1758
67777,16857
91,10428
73066,694
30324,1749
46263,6956
17623,2247
5832,1626
85239,1389
31341,4312
17173,5421
61584,6268
73825,681
65840,6777
2761,718
27824,10003
103076,4662
50279,485
75824,1326
108846,1915
31579,2670
104772,583
11509,2762
10916,4449
91125,1415
31057,975
51409,4937
125449,4914
65165,5864
31478,921
133428,4136
54251,454
16169,1760
81614,942
29317,2230
91415,5266
121090,5955
18734,442
30498,978
40762,4327
47739,2896
16638,613
107121,2215
88892,836
26362,1243
19271,1064
51634,5174
15885,4751
15214,7680
127952,2593
53385,4389
5303,8100
95613,5387
15638,8599
148043,2431
18608,1389
1666,8977
84014,3745
2278,4449
81452,6535
29478,4284
146418,7923
10788,418
51398,4733
61053,672
5372,4948
45902,1621
35439,1050
107182,6048
82835,1230
4901,8107
64585,6891
46821,1818
153366,6534
27701,10478
1079,10497
134705,1720
26754,11511
59782,912
20848,13849
23722,6687
119504,2272
31004,1438
91206,5394
120006,5699
107109,758
55815,596
51525,3080
97270,1363
2977,7139
123741,1935
19517,4250
37326,1934
97269,4914
40479,495
9992,1367
4550,739
136923,1740
112155,6597
13504,5050
36297,540
96897,1816
59124,3036
10069,625
35529,698
52836,945
68029,957
126461,3267
22088,1050
59119,612
60301,1088
37400,698
23845,1195
7093,16769
14037,828
19786,544
47408,2803
2656,1086
23555,9636
10635,1092
33561,9384
71754,927
148428,3018
6111,3763
37722,2127
143005,1803
76016,2694
51460,2394
114518,1327
2433,8157
135252,735
103972,558
62592,832
15270,7506
46127,1363
21603,829
54194,2548
15695,14593
16816,876
24502,5192
121699,6301
24802,524
66426,7328
127382,725
138446,1030
26183,7168
5409,421
3880,2799
137304,2124
50709,988
26739,3528
90878,4788
61739,463
7525,10053
26957,810
2041,5192
30975,4078
130175,766
117352,2803
45907,540
14116,17156
130881,2321
145928,6947
120301,3334
130851,5204
71814,2752
56694,1813
45710,1036
22495,12931
14914,1789
6770,2129
123944,2301
7725,2777
28642,15841
1744,5005
62660,572
11132,7411
8179,11430
4927,968
76886,776
79440,3075
98164,535
4815,4327
133746,1008
143581,2453
109000,1931
63495,3801
24445,455
93187,6909
87168,1008
38,2803
61167,15710
32725,2330
20411,1400
100810,740
35092,3827
98062,969
80413,16232
130964,5550
85277,2282
29007,737
92145,6368
97884,2361
8261,1377
93617,3171
55380,457
140961,754
96518,15842
92083,571
139736,11234
144969,4037
117723,1851
26561,3931
90356,3064
148363,788
56654,6403
121953,1593
125653,520
149948,3444
138821,9122
134023,3671
24505,693
54068,737
66584,1777
109231,1259
28091,605
154082,1004
26854,2996
61613,603
26334,923
71081,1375
51801,9296
84455,2239
110099,6183
120358,9450
36474,9257
49651,453
39555,4428
51436,1080
12631,3918
12312,1720
120281,612
17800,2251
145733,15335
135036,1559
68199,605
151127,2708
40657,625
4143,1695
135931,486
28059,2583
4447,15797
69139,548
3919,1857
112676,498
75882,4958
64,1235
1445,816
127693,11202
139910,13667
50033,1431
117164,680
87012,6776
114626,906
154505,5431
77669,7723
5685,3039
126918,947
107302,7090
38604,2222
25554,3146
113345,3478
10920,10742
82936,1774
11097,740
15156,9050
53834,10063
95571,1175
37185,7744
107169,3345
124948,2320
74844,7216
18321,1263
96133,1196
63268,1453
20397,434
92566,1286
112354,2475
44065,2606
21645,1821
15946,8991
36169,878
40672,2025
7715,1687
52479,9281
122933,7096
84912,1777
132699,743
37900,7324
75259,2537
15153,8109
17458,2511
84704,6169
108437,3036
15939,6104
153270,1221
107122,6831
106864,627
69581,4793
56728,1228
69540,1111
91454,1015
24545,5255
73306,1572
71250,5067
147124,2241
102927,1684
12376,11009
45903,620
12635,2586
122260,6805
130504,12381
26092,2513
74336,3234
1419,15393
97034,2539
12781,3457
80874,4989
111647,1972
107916,10769
116717,1727
107822,5689
12400,1415
16924,979
110194,4410
70586,4284
20234,505
76001,1079
91188,3258
38104,11047
117433,499
26718,4766
115094,702
30527,9138
87293,17168
29907,776
10524,2142
65163,5690
152147,574
78162,13278
14941,4513
62443,8051
125424,2592
30471,12500
100914,650
68519,1097
52049,2648
91813,3852
53578,1074
118923,3205
2216,8873
30173,13661
51949,447
119551,3879
128912,918
49598,3991
118461,14853
124385,8133
7137,1300
105821,783
24694,2890
73231,5370
150070,2496
36202,1816
7843,1881
14846,3267
109843,492
23996,2994
13243,1007
42766,3318
43593,1263
3357,5176
104372,2897
26196,962
4413,626
150287,3338
19105,984
17409,4357
36570,6762
23167,11939
91710,18069
79275,593
119348,1024
57005,1124
134357,1822
94262,3105
110136,2723
97027,5861
74793,2029
116222,2671
134591,689
136310,851
139926,5841
82207,4830
140022,756
90291,1043
143853,13849
117652,837
87874,12738
68551,5868
6390,2958
89639,421
8099,653
26559,4064
2140,2657
63645,1209
148233,13919
129564,10879
109526,516
11438,1024
28516,1446
5104,730
30462,5880
22087,5995
63264,958
71522,2442
22994,491
17298,2911
84583,5154
85971,3068
130826,625
114859,8100
759,669
83885,886
58285,3838
138686,1640
1071,1238
153575,725
144978,844
72385,480
96705,9658
11618,2567
36567,552
34134,5286
23440,630
23156,852
121620,452
82718,1103
95230,2010
106286,447
75584,7493
135012,789
36802,5330
94294,3707
82221,7198
27029,4764
31261,6109
28142,1145
113975,3620
32840,7567
9509,1051
133925,682
18175,6230
141971,1821
50463,408
29649,1710
132651,852
11241,14394
29946,1024
147347,1007
33906,3154
90032,1684
142379,6256
2651,1857
26486,2353
69681,798
10447,515
107406,476
15553,12872
49017,5260
54603,11427
94043,601
99643,2818
36218,792
75617,4081
96276,596
32796,899
54634,2825
75493,863
102355,599
21721,853
4885,743
25995,1377
43132,920
12894,9296
151810,11873
38079,557
959,1369
76654,15446
60388,16900
66399,680
64085,5044
27895,1031
80333,9596
996,5750
83924,1660
108689,906
2143,1804
31226,15540
127828,7251
12888,1438
1579,7308
132742,11719
132237,8058
60290,2659
4969,7817
120192,832
49034,4482
98192,5051
151401,7063
31827,1356
15901,5273
71531,8587
78668,8294
8933,3494
79011,713
93764,1024
53584,13298
102058,523
68994,871
104896,6025
110933,967
56490,3936
110929,4365
29721,12308
61349,1974
10313,6137
38468,893
21767,8108
65842,3920
80016,13486
72668,18062
66764,953
93986,687
97996,8079
110405,10302
25830,3856
92114,1259
19859,6441
132291,776
28307,6819
28874,1282
7867,737
31757,3189
130685,2140
112386,4702
80695,688
153132,11389
29721,17403
34422,930
136159,1911
20947,7584
60070,905
10589,828
110898,605
34023,5556
4054,666
51255,11405
133998,1026
92336,935
78017,1802
70905,2763
53560,4328
14332,480
121634,641
29138,755
111991,2230
4738,6389
63403,583
44988,4918
79116,2606
59355,14137
100138,5082
13336,5708
27113,2234
87027,3731
102411,1572
100032,992
15108,2654
150057,996
145435,1046
71741,516
36598,6126
15245,756
86154,773
139259,2398
47319,3198
32943,3062
123527,6028
140411,7744
141990,3423
10609,7416
26101,1781
13026,11867
1845,1264
32026,5488
127018,8758
17557,5050
133289,6213
18247,725
59653,1601
54552,1040
11110,984
49878,4576
24399,12502
143100,5599
12322,877
44369,1249
18669,3290
134692,6147
8904,2381
139040,2260
23973,491
21757,4063
37488,599
102087,1350
90232,1076
72491,847
124075,6628
13107,828
72865,4077
24970,4326
28791,504
23944,6007
131063,2854
655,2161
51682,983
22813,4066
38202,4604
104055,5546
31861,1571
27825,524
19137,3478
70931,485
15835,4600
11002,3797
144070,12182
100444,1844
70923,1052
14618,811
79340,1825
109027,3861
7344,1172
95629,10580
58574,848
53007,6212
119859,2188
39362,12648
77181,911
113176,3397
13179,418
49374,552
128139,4129
65378,675
20414,4365
95455,2513
7652,614
9872,1637
2168,903
52493,14354
7768,1807
12293,1170
32327,5784
110772,4692
34384,747
125060,3750
9289,730
5461,1715
127907,533
115099,6766
88526,776
128624,789
115214,608
69125,789
99985,1021
31600,2052
14277,4385
140234,16304
115771,544
2574,15032
95720,2961
43456,1146
44018,954
5614,628
36390,3300
14072,972
59802,954
91542,983
9043,625
113003,1827
76750,4685
33309,1232
123290,9193
18432,672
41246,8825
